
,NJU2K_TEST,NLPR_TEST,DES,SSD,STERE,LFSD,SIP,DUT,Details
0,0.036,0.042,0.02,0.047,,0.073,0.047,,ResNet/BCE/352x352
1,0.0365,0.040,0.019,0.048,0.044,0.076,0.051,,Effnet/BCE/224x224
2,0.031,0.038,0.017,0.044,0.037,0.066,0.045,,ResNet/dice/352x352
3,0.034,0.037,0.018,0.041,0.038,0.075,0.049,,Effnet/dice/224x224
4,0.062,0.063,0.041,0.073,0.070,0.110,0.077,,Effnet/focal/224x224
5,0.031,0.037,0.016,0.043,0.037,0.082,0.051,0.105,Effnet/dice/352x352
6,0.030,0.034,0.016,0.041,0.036,0.072,0.042,0.140,Effnet/jaccard/352x352
7,0.035,0.040,0.019,0.047,0.039,0.074,0.047,0.112,Effnet/bce/352x352
